author	credit_role	contribution_level	status	required_action
Chongfa Chen	Conceptualization	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Methodology	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Software	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Formal analysis	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Data curation	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Validation	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Visualization	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Writing - original draft	lead	drafted_needs_author_confirmation	Confirm role.
Chongfa Chen	Writing - review & editing	lead	drafted_needs_author_confirmation	Confirm role.
Han Yan	Conceptualization	supporting	drafted_needs_author_confirmation	Confirm role.
Han Yan	Methodology	supporting	drafted_needs_author_confirmation	Confirm role.
Han Yan	Resources	supporting	drafted_needs_author_confirmation	Confirm role.
Han Yan	Supervision	supporting	drafted_needs_author_confirmation	Confirm role.
Han Yan	Validation	supporting	drafted_needs_author_confirmation	Confirm role.
Han Yan	Writing - review & editing	supporting	drafted_needs_author_confirmation	Confirm role.
Yi Miao	Conceptualization	supporting	drafted_needs_author_confirmation	Confirm role.
Yi Miao	Resources	lead	drafted_needs_author_confirmation	Confirm role.
Yi Miao	Supervision	lead	drafted_needs_author_confirmation	Confirm role.
Yi Miao	Project administration	lead	drafted_needs_author_confirmation	Confirm role.
Yi Miao	Writing - review & editing	supporting	drafted_needs_author_confirmation	Confirm role.
Yi Miao	Funding acquisition	unknown	pending_author_content	Include only if Yi Miao confirms funding acquisition and exact funding statement.
