panel	item	group	metric	value	status	source_path	notes
A_evidence_board	FDR_controlled_cluster_DE	yes	status	pass	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	RMTGuard clusters have interpretable marker programs in public PDAC/TME data.
A_evidence_board	external_signature_transfer	yes	status	supported_with_partial_failures	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	Selected ductal and myeloid marker families transfer to an external public PDAC/TME dataset.
A_evidence_board	rank_based_pathway_layer	yes	status	pass	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	The public-data clusters recover pathway-level programs consistent with PDAC/TME biology.
A_evidence_board	published_atlas_marker_overlap	yes	status	pass	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	Cluster identities are consistent with published PDAC atlas marker families.
A_evidence_board	subsampling_stability_context	yes_with_boundary	status	caution_baseline_higher	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	PDAC/TME is a bounded callability-aware use case, not a stability-superiority example.
A_evidence_board	bounded_wording_freeze	yes_after_author_ack	status	pass_if_author_acknowledged	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	Bounded public-data PDAC/TME showcase of RMTGuard callability.
A_evidence_board	spatial_or_protein_validation	not_required	status	missing_not_required_for_methods_showcase	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	Do not claim orthogonal spatial or protein validation.
A_evidence_board	clinical_or_survival_validation	not_required	status	missing_not_required_for_methods_showcase	no	results/submission/pdac_tme_figure4_strengthening_board.tsv	Do not claim prognosis, therapy-response, clinical validation, or patient-level utility.
B_marker_signature_heatmap	pdac_gse154778_C0	B/plasma	mean_marker_score	0.322656	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C0	CAF/fibroblast	mean_marker_score	0.281128	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C0	ductal	mean_marker_score	1.55671	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C0	endothelial	mean_marker_score	0.0256842	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C0	myeloid	mean_marker_score	0.319798	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C0	T/NK	mean_marker_score	0.0877903	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C1	B/plasma	mean_marker_score	0.328662	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C1	CAF/fibroblast	mean_marker_score	0.489838	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C1	ductal	mean_marker_score	1.40316	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C1	endothelial	mean_marker_score	0.0311742	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C1	myeloid	mean_marker_score	0.371042	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C1	T/NK	mean_marker_score	0.153249	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C2	B/plasma	mean_marker_score	0.739392	immune_myeloid	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C2	CAF/fibroblast	mean_marker_score	0.34814	immune_myeloid	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C2	ductal	mean_marker_score	0.641789	immune_myeloid	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C2	endothelial	mean_marker_score	0.0475235	immune_myeloid	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C2	myeloid	mean_marker_score	1.4628	immune_myeloid	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C2	T/NK	mean_marker_score	0.298916	immune_myeloid	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C3	B/plasma	mean_marker_score	0.243356	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
B_marker_signature_heatmap	pdac_gse154778_C3	CAF/fibroblast	mean_marker_score	0.117764	ductal_malignant_context	results/figures/source_data/figure4_pdac_tme_cluster_marker_summary.tsv	Plotted marker signature score.
