role	status	source_path	shared_path	notes
20-50 JIF gap assessment	copied	docs/jif20_50_gap_assessment.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_JIF20_50_GAP_ASSESSMENT.md	source copied
machine-readable gap assessment	copied	results/submission/jif20_50_gap_assessment.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_JIF20_50_GAP_ASSESSMENT.tsv	source copied
submission execution board	copied	docs/publication_execution_board.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_PUBLICATION_EXECUTION_BOARD.md	source copied
Nature Methods next-round science gate board	copied	docs/nature_methods_next_round_gate_board.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_NATURE_METHODS_NEXT_ROUND_GATE_BOARD.md	source copied
Genome Biology v2 fallback packet	copied	docs/genome_biology_fallback_v2_packet.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_GENOME_BIOLOGY_FALLBACK_V2_PACKET.md	source copied
machine-readable Genome Biology v2 fallback checklist	copied	results/submission/genome_biology_fallback_v2_checklist.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_GENOME_BIOLOGY_FALLBACK_V2_CHECKLIST.tsv	source copied
Genome Biology v2 abstract draft	copied	manuscript/genome_biology_abstract_v2.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_GENOME_BIOLOGY_ABSTRACT_V2.md	source copied
Genome Biology v2 cover letter draft	copied	manuscript/genome_biology_cover_letter_v2.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_GENOME_BIOLOGY_COVER_LETTER_V2.md	source copied
machine-readable Nature Methods next-round gate board	copied	results/submission/nature_methods_next_round_gate_board.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_NATURE_METHODS_NEXT_ROUND_GATE_BOARD.tsv	source copied
Gantt chart markdown	copied	results/project_management/rmtguard_project_gantt.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_PROJECT_GANTT.md	source copied
